     mention      | lv  | ru | total | score  
 ArtisCalitis     |   5 |    |     5 | 0.0000
 domuskapis       |   5 |    |     5 | 0.0000
 nnailgun         |     |  5 |     5 | 0.0000
 kajbumba         |   5 |    |     5 | 0.0000
 sabynaBS         |     |  5 |     5 | 0.0000
 fullnessfilings  |     |  5 |     5 | 0.0000
 BaibaStrautmane  |   5 |    |     5 | 0.0000
 f1latvija        |   5 |    |     5 | 0.0000
 @mixnews_lv      |     |  5 |     5 | 0.0000
 @@TVNET          |   5 |    |     5 | 0.0000
 @vid_gov_lv      |   5 |    |     5 | 0.0000
 errnews          |   5 |    |     5 | 0.0000
 krizdabz         |   4 |    |     4 | 0.0000
 EvijaUnama       |   4 |    |     4 | 0.0000
 Prusis           |   4 |    |     4 | 0.0000
 DzintarsRasnacs  |   4 |    |     4 | 0.0000
 AnnaFomina       |     |  4 |     4 | 0.0000
 RainVera         |     |  4 |     4 | 0.0000
 knaaabis         |   4 |    |     4 | 0.0000
 @lvceli          |   4 |    |     4 | 0.0000
 zemene103        |   4 |    |     4 | 0.0000
 kbuss            |   4 |    |     4 | 0.0000
 @lnso            |   4 |    |     4 | 0.0000
 Skepse           |   4 |    |     4 | 0.0000
 @zinamaislr1     |   4 |    |     4 | 0.0000
 glamur821        |     |  4 |     4 | 0.0000
 raudseps         |   4 |    |     4 | 0.0000
 kazhaes          |   4 |    |     4 | 0.0000
 Sarmite_Kolate   |   4 |    |     4 | 0.0000
 @marupesvsk      |   4 |    |     4 | 0.0000
 JanisIesalnieks  |   4 |    |     4 | 0.0000
 @brivibas36      |   4 |    |     4 | 0.0000
 @@TV3            |   4 |    |     4 | 0.0000
 @bkventspils     |   4 |    |     4 | 0.0000
 @@UNI            |   4 |    |     4 | 0.0000
 vaivarei         |   4 |    |     4 | 0.0000
 @iespejamamisija |   4 |    |     4 | 0.0000
 WizyWizy         |   4 |    |     4 | 0.0000
 atjaunotiesisku  |   4 |    |     4 | 0.0000
 @pvilciens       |   4 |    |     4 | 0.0000
 @nralv           |   4 |    |     4 | 0.0000
 asocgimene       |   4 |    |     4 | 0.0000
 maza_dudina      |   4 |    |     4 | 0.0000
 @rigas_pils      |   4 |    |     4 | 0.0000
 @@SCHOOL         |   4 |    |     4 | 0.0000
 ladyalena96      |     |  3 |     3 | 0.0000
 ainarstam        |   3 |    |     3 | 0.0000
 @cesis_lv        |   3 |    |     3 | 0.0000
 alisejoste       |   3 |    |     3 | 0.0000
 JurisLi          |   3 |    |     3 | 0.0000
 KBlumberga       |   3 |    |     3 | 0.0000
 apinis99         |   3 |    |     3 | 0.0000
 @jekaba11        |   3 |    |     3 | 0.0000
 Krista_Baumane   |   3 |    |     3 | 0.0000
 cepum_s          |   3 |    |     3 | 0.0000
 KristineGarina   |   3 |    |     3 | 0.0000
 KsenyaVekshina   |     |  3 |     3 | 0.0000
 @kekavas_novads  |   3 |    |     3 | 0.0000
 cryomancerka     |     |  3 |     3 | 0.0000
 @la_lv           |   3 |    |     3 | 0.0000
 L_bss            |   3 |    |     3 | 0.0000
 demonhog63       |   3 |    |     3 | 0.0000
 dianagorodylina  |     |  3 |     3 | 0.0000
 @latmixnews      |   3 |    |     3 | 0.0000
 BluForster       |   3 |    |     3 | 0.0000
 @lido_lv         |   3 |    |     3 | 0.0000
 foto_enik        |     |  3 |     3 | 0.0000
 gudrsvelgudraks  |   3 |    |     3 | 0.0000
 MaraKrontale     |   3 |    |     3 | 0.0000
 ints_goze        |   3 |    |     3 | 0.0000
 jaarinak5        |     |  3 |     3 | 0.0000
 jtaurens         |   3 |    |     3 | 0.0000
 jurino123t       |   3 |    |     3 | 0.0000
 @lv_portals      |   3 |    |     3 | 0.0000
 DikembeSakamoto  |   3 |    |     3 | 0.0000
 koleegjis        |   3 |    |     3 | 0.0000
 EGoizane         |   3 |    |     3 | 0.0000
 NigasfromTk      |   3 |    |     3 | 0.0000
 NikiArtpop       |     |  3 |     3 | 0.0000
 OptibeTips       |   3 |    |     3 | 0.0000
 @r_centraltirgus |   3 |    |     3 | 0.0000
 OskarsMucenieks  |   3 |    |     3 | 0.0000
 marruciic        |   3 |    |     3 | 0.0000
 murmurmjauuu     |   3 |    |     3 | 0.0000
 EvaCaune1        |   3 |    |     3 | 0.0000
 @ritapanorama    |   3 |    |     3 | 0.0000
 originalLNO      |   3 |    |     3 | 0.0000
 @teatris         |   3 |    |     3 | 0.0000
 @tieslietas      |   3 |    |     3 | 0.0000
 Sadurskis        |   3 |    |     3 | 0.0000
 GaumigsJoks      |   3 |    |     3 | 0.0000
 ravrrrrr         |   3 |    |     3 | 0.0000
 SlavaVK          |   3 |    |     3 | 0.0000
 sandzhs          |   3 |    |     3 | 0.0000
 scarletfoxdamn   |     |  3 |     3 | 0.0000
 TE_Karaliste     |   3 |    |     3 | 0.0000
 shohinur94       |     |  3 |     3 | 0.0000
 HesburgerFIN     |   3 |    |     3 | 0.0000
 Horstsyo         |   3 |    |     3 | 0.0000
 @@MUSEUM         |   3 |    |     3 | 0.0000
 @@PARTY          |   3 |    |     3 | 0.0000
 tenor_van_love   |     |  3 |     3 | 0.0000
 IevaSniedze      |   3 |    |     3 | 0.0000
 tolstovs1        |   3 |    |     3 | 0.0000
 IgorjKjv         |     |  3 |     3 | 0.0000
 @@PETROL         |   3 |    |     3 | 0.0000
 Vinkele          |   3 |    |     3 | 0.0000
 valtersb         |   3 |    |     3 | 0.0000
 IlzeAww          |   3 |    |     3 | 0.0000
 vefriga          |   3 |    |     3 | 0.0000
 Inga_Gorbunova   |   3 |    |     3 | 0.0000
 vkovancova       |     |  3 |     3 | 0.0000
 InraRubene       |   3 |    |     3 | 0.0000
 Alika1808        |     |  3 |     3 | 0.0000
 IvarsNeiders     |   3 |    |     3 | 0.0000
 zdazz            |     |  3 |     3 | 0.0000
 kasparszellis    |   2 |    |     2 | 0.0000
 DeNiByy          |     |  2 |     2 | 0.0000
 DanielaMeilekh   |     |  2 |     2 | 0.0000
 nk8500           |     |  2 |     2 | 0.0000
 @lv_vest_muzejs  |   2 |    |     2 | 0.0000
 normis           |   2 |    |     2 | 0.0000
 Mednisfoto       |   2 |    |     2 | 0.0000
 IngaBit          |   2 |    |     2 | 0.0000
 jaaniszelgis     |   2 |    |     2 | 0.0000
 MazaisJuniors    |   2 |    |     2 | 0.0000
 @rtu_lv          |   2 |    |     2 | 0.0000
 olshanskajaa     |     |  2 |     2 | 0.0000
 io7246           |   2 |    |     2 | 0.0000
 K_97J            |   2 |    |     2 | 0.0000
 ilzekalninaa     |   2 |    |     2 | 0.0000
 RigasBrivosta    |   2 |    |     2 | 0.0000
 FestivalBILDES   |   2 |    |     2 | 0.0000
 ilze_krii        |   2 |    |     2 | 0.0000
 ilz              |   2 |    |     2 | 0.0000
 panncis          |   2 |    |     2 | 0.0000
 illusory_me      |     |  2 |     2 | 0.0000
 Fiskalapadome    |   2 |    |     2 | 0.0000
 iegriezies360    |   2 |    |     2 | 0.0000
 CerinsAivis      |   2 |    |     2 | 0.0000
 ZakDios          |     |  2 |     2 | 0.0000
 RobertsLunte     |   2 |    |     2 | 0.0000
 @tele2latvia     |   2 |    |     2 | 0.0000
 Zalton           |     |  2 |     2 | 0.0000
 hclokomotiv      |   2 |    |     2 | 0.0000
 Caune_           |   2 |    |     2 | 0.0000
 gvaldmanis       |   2 |    |     2 | 0.0000
 @galerijacentrs  |   2 |    |     2 | 0.0000
 @turiba          |   2 |    |     2 | 0.0000
 guntisbelevics   |   2 |    |     2 | 0.0000
 @tv3lv           |   2 |    |     2 | 0.0000
 greatamberlv     |   2 |    |     2 | 0.0000
 vitaamiins       |   2 |    |     2 | 0.0000
 AndrAuz          |   2 |    |     2 | 0.0000
 @tv3zinas        |   2 |    |     2 | 0.0000
 redhead_jules    |     |  2 |     2 | 0.0000
 Butkevics        |   2 |    |     2 | 0.0000
 Gircha           |   2 |    |     2 | 0.0000
 rihardsebastian  |     |  2 |     2 | 0.0000
 @lnt_lv          |   2 |    |     2 | 0.0000
 gestins          |   2 |    |     2 | 0.0000
 @lnb_lv          |   2 |    |     2 | 0.0000
 @vecriga         |   2 |    |     2 | 0.0000
 anechka159       |     |  2 |     2 | 0.0000
 freidace         |   2 |    |     2 | 0.0000
 GuntarsRacs      |   2 |    |     2 | 0.0000
 rpp              |   2 |    |     2 | 0.0000
 @letanewslv      |   2 |    |     2 | 0.0000
 rudites          |   2 |    |     2 | 0.0000
 exerica          |   2 |    |     2 | 0.0000
 Gvi79            |   2 |    |     2 | 0.0000
 @latvijastatoil  |   2 |    |     2 | 0.0000
 LimasovaKatya    |     |  2 |     2 | 0.0000
 LiepajaTriobet   |   2 |    |     2 | 0.0000
 Sportacentrs     |   2 |    |     2 | 0.0000
 GwensRare        |     |  2 |     2 | 0.0000
 JankaPipars      |   2 |    |     2 | 0.0000
 eedgars          |   2 |    |     2 | 0.0000
 Sugaryok         |     |  2 |     2 | 0.0000
 agucis110        |   2 |    |     2 | 0.0000
 LielaisKristaps  |   2 |    |     2 | 0.0000
 SwarmApp         |     |  2 |     2 | 0.0000
 LaurisReiniks    |   2 |    |     2 | 0.0000
 dzavada          |     |  2 |     2 | 0.0000
 JurisMillers     |   2 |    |     2 | 0.0000
 zimolutops       |   2 |    |     2 | 0.0000
 @vl_tblnnk       |   2 |    |     2 | 0.0000
 Ivan_Kostyaev    |     |  2 |     2 | 0.0000
 dstrautniece1    |   2 |    |     2 | 0.0000
 LatRex_          |   2 |    |     2 | 0.0000
 Terzens          |   2 |    |     2 | 0.0000
 skirsts          |   2 |    |     2 | 0.0000
 sklarevich       |     |  2 |     2 | 0.0000
 LaivinieksJanis  |   2 |    |     2 | 0.0000
 BK_OGRE          |   2 |    |     2 | 0.0000
 Zn_Portnova      |     |  2 |     2 | 0.0000
 LabakDzivot      |   2 |    |     2 | 0.0000
 IvarsForands     |   2 |    |     2 | 0.0000
 dacebluke        |   2 |    |     2 | 0.0000
 APolunocheva     |     |  2 |     2 | 0.0000
 starexinho       |     |  2 |     2 | 0.0000
 stepanova_ka61   |     |  2 |     2 | 0.0000
 V_Alyona91       |     |  2 |     2 | 0.0000
 Atl_Aztecs       |     |  2 |     2 | 0.0000
 @kasjauns        |   2 |    |     2 | 0.0000
 ___________DV17  |     |  2 |     2 | 0.0000
 xoxoAgy          |   2 |    |     2 | 0.0000
 _elinka98_       |     |  2 |     2 | 0.0000
 IgorGusev85      |     |  2 |     2 | 0.0000
 ykvlvbeats       |     |  2 |     2 | 0.0000
 _jagris_         |   2 |    |     2 | 0.0000
 IlgvarsImsa      |   2 |    |     2 | 0.0000
 conor_ks         |     |  2 |     2 | 0.0000
 KristineOpolais  |   2 |    |     2 | 0.0000
 agnese_zee       |   2 |    |     2 | 0.0000
 ArtjomKiselev    |     |  2 |     2 | 0.0000
 cehslv           |   2 |    |     2 | 0.0000
 zarinstoms       |   2 |    |     2 | 0.0000
 boms_tricis      |   2 |    |     2 | 0.0000
 00E93            |   2 |    |     2 | 0.0000
 valtszvaigzne    |   2 |    |     2 | 0.0000
 Ivars_Motivans   |   2 |    |     2 | 0.0000
 blanks86         |   2 |    |     2 | 0.0000
 vasiliy_terkin   |     |  2 |     2 | 0.0000
 EduardsSarkans   |   2 |    |     2 | 0.0000
 @picalulu        |   2 |    |     2 | 0.0000
 Eleonooraa       |     |  2 |     2 | 0.0000
 OlyBetLBL        |   2 |    |     2 | 0.0000
 @@DIENA          |   2 |    |     2 | 0.0000
 @opera_balets    |   2 |    |     2 | 0.0000
 @cili_pica       |   2 |    |     2 | 0.0000
 veloriga         |   2 |    |     2 | 0.0000
 Nikita_Bakhurov  |     |  2 |     2 | 0.0000
 licitiz_         |     |  2 |     2 | 0.0000
 Nika_Kromane     |     |  2 |     2 | 0.0000
 Kilkuts          |   2 |    |     2 | 0.0000
 marym0607        |     |  2 |     2 | 0.0000
 EmilsBuikis      |   2 |    |     2 | 0.0000
 latgalesgors     |   2 |    |     2 | 0.0000
 @railbaltica     |   2 |    |     2 | 0.0000
 PTimrots         |   2 |    |     2 | 0.0000
 P_Snejersons     |   2 |    |     2 | 0.0000
 meteozinas       |   2 |    |     2 | 0.0000
 adrija6          |   2 |    |     2 | 0.0000
 EmilyGasparyan   |     |  2 |     2 | 0.0000
 Enkurss          |   2 |    |     2 | 0.0000
 kulturaskoledza  |   2 |    |     2 | 0.0000
 mrserge          |   2 |    |     2 | 0.0000
 ms_Dyonamite     |     |  2 |     2 | 0.0000
 behmanis         |   2 |    |     2 | 0.0000
 Nataliya_Yanush  |     |  2 |     2 | 0.0000
 EsEsmuTuEsmuEs   |   2 |    |     2 | 0.0000
 ELisovskis       |   2 |    |     2 | 0.0000
 AnsisEgle        |   2 |    |     2 | 0.0000
 kristsdarzins    |   2 |    |     2 | 0.0000
 Dzintris         |   2 |    |     2 | 0.0000
 MyFitnessLatvia  |   2 |    |     2 | 0.0000
 @maximaveikals   |   2 |    |     2 | 0.0000
 kbushaa          |   2 |    |     2 | 0.0000
 nikabuka_        |     |  2 |     2 | 0.0000
 katerynamyau     |     |  2 |     2 | 0.0000
 d_dtm            |     |  1 |     1 | 0.0000
 dagnijaaaa       |   1 |    |     1 | 0.0000
 dailesnams       |   1 |    |     1 | 0.0000
 danik_marsely    |     |  1 |     1 | 0.0000
 daokyo           |     |  1 |     1 | 0.0000
 davnch           |     |  1 |     1 | 0.0000
 dianabangg       |   1 |    |     1 | 0.0000
 dianapayton      |   1 |    |     1 | 0.0000
 diflatout        |     |  1 |     1 | 0.0000
 dirtyserpent     |     |  1 |     1 | 0.0000
 donis777         |   1 |    |     1 | 0.0000
 draugiem         |   1 |    |     1 | 0.0000
 e_radzins        |   1 |    |     1 | 0.0000
 edgarskupcs      |   1 |    |     1 | 0.0000
 edinorogyo       |     |  1 |     1 | 0.0000
 eeriikiiss       |     |  1 |     1 | 0.0000
 el_nekit         |     |  1 |     1 | 0.0000
 elina2455        |     |  1 |     1 | 0.0000
 elvi_veikali     |   1 |    |     1 | 0.0000
 energodata       |   1 |    |     1 | 0.0000
 es_jau_neko      |   1 |    |     1 | 0.0000
 eugenelandin     |     |  1 |     1 | 0.0000
 evita_purina     |   1 |    |     1 | 0.0000
 ewq666N          |     |  1 |     1 | 0.0000
 fauxforever      |   1 |    |     1 | 0.0000
 fd00ch           |     |  1 |     1 | 0.0000
 fjodorovs91      |   1 |    |     1 | 0.0000
 flamieCS         |     |  1 |     1 | 0.0000
 food_blood       |   1 |    |     1 | 0.0000
 garamgajejs      |   1 |    |     1 | 0.0000
 gay_gerard2      |     |  1 |     1 | 0.0000
 gezgin3435       |   1 |    |     1 | 0.0000
 giphy            |     |  1 |     1 | 0.0000
 girlontrainfilm  |   1 |    |     1 | 0.0000
 glavnijaponojed  |     |  1 |     1 | 0.0000
 graudaspeks      |   1 |    |     1 | 0.0000
 gundarsreders    |   1 |    |     1 | 0.0000
 happycat1290     |     |  1 |     1 | 0.0000
 hellpasso        |     |  1 |     1 | 0.0000
 hotetmalo        |     |  1 |     1 | 0.0000
 hremenkina       |   1 |    |     1 | 0.0000
 iTrITon          |     |  1 |     1 | 0.0000
 i_nartish        |   1 |    |     1 | 0.0000
 ilmarmors        |   1 |    |     1 | 0.0000
 indygo_band      |   1 |    |     1 | 0.0000
 inesevoika       |   1 |    |     1 | 0.0000
 irliepaja        |   1 |    |     1 | 0.0000
 ivanhilov00      |     |  1 |     1 | 0.0000
 ivarssvilans     |   1 |    |     1 | 0.0000
 janisburba       |   1 |    |     1 | 0.0000
 jegursjuniors    |   1 |    |     1 | 0.0000
 jurmalafenikss   |   1 |    |     1 | 0.0000
 jurmalaslimnica  |   1 |    |     1 | 0.0000
 kalvanelinda     |   1 |    |     1 | 0.0000
 kapociino        |   1 |    |     1 | 0.0000
 karin4ik170599   |     |  1 |     1 | 0.0000
 karsupavelnieks  |   1 |    |     1 | 0.0000
 kasparsgrvis     |   1 |    |     1 | 0.0000
 kasprs           |   1 |    |     1 | 0.0000
 keksinjs         |   1 |    |     1 | 0.0000
 kennijski        |     |  1 |     1 | 0.0000
 kinasts          |   1 |    |     1 | 0.0000
 kisakisa95       |     |  1 |     1 | 0.0000
 klavsse          |   1 |    |     1 | 0.0000
 kotik_by         |     |  1 |     1 | 0.0000
 kovalivan96      |     |  1 |     1 | 0.0000
 kporzee          |   1 |    |     1 | 0.0000
 kristapsDFK      |   1 |    |     1 | 0.0000
 ksykorolj        |     |  1 |     1 | 0.0000
 ksywai           |     |  1 |     1 | 0.0000
 kulakovaak       |     |  1 |     1 | 0.0000
 kurzemnieks_K    |   1 |    |     1 | 0.0000
 lYuliaZ          |     |  1 |     1 | 0.0000
 lawrr__          |     |  1 |     1 | 0.0000
 leenkasmolina11  |     |  1 |     1 | 0.0000
 liene_b          |   1 |    |     1 | 0.0000
 liepajalv        |   1 |    |     1 | 0.0000
 liepajasosta     |   1 |    |     1 | 0.0000
 lindahaka        |   1 |    |     1 | 0.0000
 lizda_lv         |   1 |    |     1 | 0.0000
 ljubljuorbit     |     |  1 |     1 | 0.0000
 llopsikk         |     |  1 |     1 | 0.0000
 ltv              |   1 |    |     1 | 0.0000
 m_levinskaya     |     |  1 |     1 | 0.0000
 m_petrakova      |     |  1 |     1 | 0.0000
 maddriverdies    |     |  1 |     1 | 0.0000
 maksuna99        |     |  1 |     1 | 0.0000
 mamba2k_         |     |  1 |     1 | 0.0000
 mapuckaa         |     |  1 |     1 | 0.0000
 mariskalejs      |   1 |    |     1 | 0.0000
 marislogins      |   1 |    |     1 | 0.0000
 matiss_z         |   1 |    |     1 | 0.0000
 mazaaevijaa      |   1 |    |     1 | 0.0000
 mejreneee        |   1 |    |     1 | 0.0000
 meownauts        |     |  1 |     1 | 0.0000
 miculis          |   1 |    |     1 | 0.0000
 modestcookie     |     |  1 |     1 | 0.0000
 monttaaa         |   1 |    |     1 | 0.0000
 mpieskariens     |   1 |    |     1 | 0.0000
 naduha1          |     |  1 |     1 | 0.0000
 naivists         |   1 |    |     1 | 0.0000
 narakupaya       |     |  1 |     1 | 0.0000
 nashley_21       |   1 |    |     1 | 0.0000
 nebiletnieks     |   1 |    |     1 | 0.0000
 neo_los          |     |  1 |     1 | 0.0000
 neresident       |     |  1 |     1 | 0.0000
 nextjoke         |     |  1 |     1 | 0.0000
 nikitabolsakov7  |     |  1 |     1 | 0.0000
 nikitinamarine   |     |  1 |     1 | 0.0000
 nikolajevaA      |     |  1 |     1 | 0.0000
 njaa_wild        |   1 |    |     1 | 0.0000
 okeirussia       |     |  1 |     1 | 0.0000
 oksanaque        |     |  1 |     1 | 0.0000
 olchik991        |     |  1 |     1 | 0.0000
 oldyellowtshirt  |   1 |    |     1 | 0.0000
 onediorussia     |     |  1 |     1 | 0.0000
 osish87          |   1 |    |     1 | 0.0000
 oskarspo         |   1 |    |     1 | 0.0000
 otto_kumm        |     |  1 |     1 | 0.0000
 owlyowl1         |     |  1 |     1 | 0.0000
 paula43181775    |   1 |    |     1 | 0.0000
 paulaelinapaula  |   1 |    |     1 | 0.0000
 peintbols        |   1 |    |     1 | 0.0000
 pildegovics      |   1 |    |     1 | 0.0000
 pimpin_is_hard   |     |  1 |     1 | 0.0000
 pink_putninya    |     |  1 |     1 | 0.0000
 pitonych         |     |  1 |     1 | 0.0000
 planet_anka      |     |  1 |     1 | 0.0000
 prayforwhatsy    |     |  1 |     1 | 0.0000
 prusux           |   1 |    |     1 | 0.0000
 pucej            |   1 |    |     1 | 0.0000
 pujina2          |   1 |    |     1 | 0.0000
 pvxlv_lp         |   1 |    |     1 | 0.0000
 ragamuffin_d     |     |  1 |     1 | 0.0000
 raivistrelnieks  |   1 |    |     1 | 0.0000
 rauls_m          |   1 |    |     1 | 0.0000
 rebaltica        |   1 |    |     1 | 0.0000
 rennattee        |   1 |    |     1 | 0.0000
 riga_plaza       |   1 |    |     1 | 0.0000
 ritishhh         |   1 |    |     1 | 0.0000
 roberts_putnis   |   1 |    |     1 | 0.0000
 robertszile      |   1 |    |     1 | 0.0000
 romans_melniks   |   1 |    |     1 | 0.0000
 rotinnss         |   1 |    |     1 | 0.0000
 rotkocentre      |   1 |    |     1 | 0.0000
 rumiantseva_     |     |  1 |     1 | 0.0000
 rusalka2810      |     |  1 |     1 | 0.0000
 samulis12        |   1 |    |     1 | 0.0000
 sandradiezina    |   1 |    |     1 | 0.0000
 sapniunkokteili  |   1 |    |     1 | 0.0000
 satisfaction777  |     |  1 |     1 | 0.0000
 sdagnere         |     |  1 |     1 | 0.0000
 seksiludi        |     |  1 |     1 | 0.0000
 sex_Dombas       |     |  1 |     1 | 0.0000
 sexsecrethood    |     |  1 |     1 | 0.0000
 sidzhinj         |   1 |    |     1 | 0.0000
 siltinam         |   1 |    |     1 | 0.0000
 sjordzis         |   1 |    |     1 | 0.0000
 skaidramigla     |   1 |    |     1 | 0.0000
 skatieslatvija   |   1 |    |     1 | 0.0000
 skraipsts        |   1 |    |     1 | 0.0000
 sku_dra          |   1 |    |     1 | 0.0000
 slashovych       |     |  1 |     1 | 0.0000
 so_many_bitches  |     |  1 |     1 | 0.0000
 sp_un_de         |   1 |    |     1 | 0.0000
 spacetag         |     |  1 |     1 | 0.0000
 sprugevica       |   1 |    |     1 | 0.0000
 stirane          |   1 |    |     1 | 0.0000
 sudakovaanda     |   1 |    |     1 | 0.0000
 svensk_viking    |   1 |    |     1 | 0.0000
 taisiared        |     |  1 |     1 | 0.0000
